SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4101;IMOPV;float;;DirectMove;SRC_JDEE1;ITEMMASTER;ORDERPOLICYVALUE;NUMERIC(15,0);
dbo;F4101;IMACQ;float;;DirectMove;SRC_JDEE1;ITEMMASTER;ACCTINGCOSTQTY;NUMERIC(15,0);
dbo;F4101;IMMLQ;float;;DirectMove;SRC_JDEE1;ITEMMASTER;MFGLEADTIMEQTY;NUMERIC(15,0);
dbo;F4101;IMLTPU;float;;DirectMove;SRC_JDEE1;ITEMMASTER;LEADTIMEPERUNIT;NUMERIC(5,0);
dbo;F4101;IMMPSP;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;PLANTIMEFENCERULE;VARCHAR(1);
dbo;F4101;IMMRPP;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;FIXEDVARIABLELEADTIME;VARCHAR(1);
dbo;F4101;IMITC;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ISSUETYPECODE;VARCHAR(1);
dbo;F4101;IMORDW;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ORDERWITHYN;VARCHAR(1);
dbo;F4101;IMMTF1;float;;DirectMove;SRC_JDEE1;ITEMMASTER;PLANNINGTIMEFENCEDAYS;NUMERIC(5,0);
dbo;F4101;IMMTF2;float;;DirectMove;SRC_JDEE1;ITEMMASTER;FREEZETIMEFENCEDAYS;NUMERIC(5,0);
dbo;F4101;IMMTF3;float;;DirectMove;SRC_JDEE1;ITEMMASTER;MSGTIMEFENCEDAYS;NUMERIC(5,0);
dbo;F4101;IMMTF4;float;;DirectMove;SRC_JDEE1;ITEMMASTER;TIMEFENCE4;NUMERIC(5,0);
dbo;F4101;IMMTF5;float;;DirectMove;SRC_JDEE1;ITEMMASTER;TIMEFENCE5;NUMERIC(5,0);
dbo;F4101;IMEXPD;float;;DirectMove;SRC_JDEE1;ITEMMASTER;EXPEDITEDAMPERDAYS;NUMERIC(5,0);
dbo;F4101;IMDEFD;float;;DirectMove;SRC_JDEE1;ITEMMASTER;DEFERDAMPERDAYS;NUMERIC(5,0);
dbo;F4101;IMSFLT;float;;DirectMove;SRC_JDEE1;ITEMMASTER;SAFETYLEADTIME;NUMERIC(5,0);
dbo;F4101;IMMAKE;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;MAKEBUYCODE;VARCHAR(1);
dbo;F4101;IMCOBY;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;COPRODUCTSBYPRODUCTS;VARCHAR(1);
dbo;F4101;IMLLX;float;;DirectMove;SRC_JDEE1;ITEMMASTER;LOWLEVELCODE;NUMERIC(3,0);
dbo;F4101;IMCMGL;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ALLOCATEBYLOT;VARCHAR(1);
dbo;F4101;IMCOMH;float;;DirectMove;SRC_JDEE1;ITEMMASTER;COMMITMENTSPECIFICDAYS;NUMERIC(3,0);
dbo;F4101;IMURCD;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDCODE;VARCHAR(2);
dbo;F4101;IMURDT;numeric(18,0);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDDATE;NUMERIC(18,0);
dbo;F4101;IMURAT;float;;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDAMOUNT;NUMERIC(15,0);
dbo;F4101;IMURAB;float;;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDNUMBER;NUMERIC(8,0);
dbo;F4101;IMURRF;nchar(15);;DirectMove;SRC_JDEE1;ITEMMASTER;USERRESERVEDREFERENCE;VARCHAR(15);
dbo;F4101;IMUSER;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;USERID;VARCHAR(10);
dbo;F4101;IMPID;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;PROGRAMID;VARCHAR(10);
dbo;F4101;IMJOBN;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;WORKSTATIONID;VARCHAR(10);
dbo;F4101;IMUPMJ;numeric(18,0);;DirectMove;SRC_JDEE1;ITEMMASTER;DATEUPDATED;NUMERIC(18,0);
dbo;F4101;IMTDAY;float;;toDateTimeFormat();SRC_JDEE1;ITEMMASTER;TIMEOFDAY;NUMERIC(6,0);
dbo;F4101;IMUPCN;nchar(13);;DirectMove;SRC_JDEE1;ITEMMASTER;UPCNUMBER;VARCHAR(13);
dbo;F4101;IMSCC0;nchar(14);;DirectMove;SRC_JDEE1;ITEMMASTER;AGGREGATESCCCODEPI0;VARCHAR(14);
dbo;F4101;IMUMUP;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREUPC;VARCHAR(2);
dbo;F4101;IMUMDF;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASUREAGGREGATEUPC;VARCHAR(2);
dbo;F4101;IMUMS0;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI0;VARCHAR(2);
dbo;F4101;IMUMS1;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI1;VARCHAR(2);
dbo;F4101;IMUMS2;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI2;VARCHAR(2);
dbo;F4101;IMUMS3;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI3;VARCHAR(2);
dbo;F4101;IMUMS4;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI4;VARCHAR(2);
dbo;F4101;IMUMS5;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI5;VARCHAR(2);
dbo;F4101;IMUMS6;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI6;VARCHAR(2);
dbo;F4101;IMUMS7;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI7;VARCHAR(2);
dbo;F4101;IMUMS8;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;UNITOFMEASURESCCPI8;VARCHAR(2);
dbo;F4101;IMPOC;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;PAYONCONSUMPTION;VARCHAR(1);
dbo;F4101;IMAVRT;float;;DirectMove;SRC_JDEE1;ITEMMASTER;AVERAGEQUEUETIMEHOURS;NUMERIC(15,0);
dbo;F4101;IMEQTY;nchar(5);;DirectMove;SRC_JDEE1;ITEMMASTER;PALLETTYPE;VARCHAR(5);
dbo;F4101;IMWTRQ;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ITEMWEIGHTREQUIRED;VARCHAR(1);
dbo;F4101;IMTMPL;nchar(20);;DirectMove;SRC_JDEE1;ITEMMASTER;TEMPLATE;VARCHAR(20);
dbo;F4101;IMSEG1;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT1;VARCHAR(10);
dbo;F4101;IMSEG2;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT2;VARCHAR(10);
dbo;F4101;IMSEG3;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT3;VARCHAR(10);
dbo;F4101;IMSEG4;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT4;VARCHAR(10);
dbo;F4101;IMSEG5;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT5;VARCHAR(10);
dbo;F4101;IMSEG6;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT6;VARCHAR(10);
dbo;F4101;IMSEG7;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT7;VARCHAR(10);
dbo;F4101;IMSEG8;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT8;VARCHAR(10);
dbo;F4101;IMSEG9;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT9;VARCHAR(10);
dbo;F4101;IMSEG0;nchar(10);;DirectMove;SRC_JDEE1;ITEMMASTER;SEGMENT10;VARCHAR(10);
dbo;F4101;IMMIC;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;MATRIXCONTROLLED;VARCHAR(1);
dbo;F4101;IMAING;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ACTIVEINGREDIENTFLAG;VARCHAR(1);
