SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;USER;addressLine1;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ADDRESSLINE1;VARCHAR(4000);
dbo;USER;addressLine2;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ADDRESSLINE2;VARCHAR(4000);
dbo;USER;addressLine3;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ADDRESSLINE3;VARCHAR(4000);
dbo;USER;assigneeUserIdOfDomainEventAlertNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ASSIGNEEUSERIDOFDOMAINEVENTALERTNAV;VARCHAR(4000);
dbo;USER;assignmentUUID;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;ASSIGNMENTUUID;VARCHAR(4000);
dbo;USER;benchStrength;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;BENCHSTRENGTH;VARCHAR(4000);
dbo;USER;benchStrengthNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;BENCHSTRENGTHNAV;VARCHAR(4000);
dbo;USER;businessPhone;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;BUSINESSPHONE;VARCHAR(4000);
dbo;USER;businessSegment;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;BUSINESSSEGMENT;VARCHAR(4000);
dbo;USER;cellPhone;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CELLPHONE;VARCHAR(4000);
dbo;USER;citizenship;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CITIZENSHIP;VARCHAR(4000);
dbo;USER;city;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CITY;VARCHAR(4000);
dbo;USER;codeOfRightToReturnNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CODEOFRIGHTTORETURNNAV;VARCHAR(4000);
dbo;USER;competency;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;COMPETENCY;VARCHAR(4000);
dbo;USER;competencyRatingNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;COMPETENCYRATINGNAV;VARCHAR(4000);
dbo;USER;costCenterManagerOfFOCostCenterNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;COSTCENTERMANAGEROFFOCOSTCENTERNAV;VARCHAR(4000);
dbo;USER;country;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;COUNTRY;VARCHAR(4000);
dbo;USER;cust_headOfBAOfcust_BANav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUST_HEADOFBAOFCUST_BANAV;VARCHAR(4000);
dbo;USER;cust_headOfUnitOfcust_SubteamNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUST_HEADOFUNITOFCUST_SUBTEAMNAV;VARCHAR(4000);
dbo;USER;cust_headOfUnitOfcust_TeamNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUST_HEADOFUNITOFCUST_TEAMNAV;VARCHAR(4000);
dbo;USER;cust_initiatorOfPositionNav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUST_INITIATOROFPOSITIONNAV;VARCHAR(4000);
dbo;USER;custom01;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM01;VARCHAR(4000);
dbo;USER;custom02;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM02;VARCHAR(4000);
dbo;USER;custom03;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM03;VARCHAR(4000);
dbo;USER;custom04;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM04;VARCHAR(4000);
dbo;USER;custom05;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM05;VARCHAR(4000);
dbo;USER;custom06;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM06;VARCHAR(4000);
dbo;USER;custom07;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM07;VARCHAR(4000);
dbo;USER;custom08;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM08;VARCHAR(4000);
dbo;USER;custom08Nav;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM08NAV;VARCHAR(4000);
dbo;USER;custom09;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM09;VARCHAR(4000);
dbo;USER;custom11;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM11;VARCHAR(4000);
dbo;USER;custom12;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM12;VARCHAR(4000);
dbo;USER;custom13;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM13;VARCHAR(4000);
dbo;USER;custom14;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM14;VARCHAR(4000);
dbo;USER;custom15;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOM15;VARCHAR(4000);
dbo;USER;customManager;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOMMANAGER;VARCHAR(4000);
dbo;USER;customReports;VARCHAR(4000);;DirectMove;SRC_SCSFCTR;USER;CUSTOMREPORTS;VARCHAR(4000);
